state,sex,c34_site,age_group,num_cases,person_years
Alaska,1,98,2,0,134544
Alaska,1,98,3,0,127956
Alaska,1,98,4,0,125096
Alaska,1,98,5,0,166937
Alaska,1,98,6,0,165323
Alaska,1,98,7,0,148761
Alaska,1,98,8,0,124597
Alaska,1,98,9,0,115568
Alaska,1,98,10,0,119625
Alaska,1,98,11,0,132817
Alaska,1,98,12,1,132759
Alaska,1,98,13,0,112795
Alaska,1,98,14,0,80917
Alaska,1,98,15,0,49315
Alaska,1,98,16,1,27452
Alaska,1,98,17,0,15190
Alaska,1,98,18,0,11236
Alaska,1,98,19,0,0
Alaska,2,98,1,0,134054
Alaska,2,98,2,0,126075
Alaska,2,98,3,0,121269
Alaska,2,98,4,0,112871
Alaska,2,98,5,0,125379
Alaska,2,98,6,0,143057
Alaska,2,98,7,0,133593
Alaska,2,98,8,0,114113
Alaska,2,98,9,0,105475
Alaska,2,98,10,0,108504
Alaska,2,98,11,0,121460
Alaska,2,98,12,0,123239
Alaska,2,98,13,0,104520
Alaska,2,98,14,0,73740
Alaska,2,98,15,0,46435
Alaska,2,98,16,0,28625
Alaska,2,98,17,1,19093
Alaska,2,98,18,0,18740
Alaska,2,98,19,0,0
Alaska,1,99,1,0,140875
Alaska,1,99,2,0,134544
Alaska,1,99,3,0,127956
Alaska,1,99,4,0,125096
Alaska,1,99,5,0,166937
Alaska,1,99,6,0,165323
Alaska,1,99,7,0,148761
Alaska,1,99,8,0,124597
Alaska,1,99,9,0,115568
Alaska,1,99,10,1,119625
Alaska,1,99,11,3,132817
Alaska,1,99,12,9,132759
Alaska,1,99,13,6,112795
Alaska,1,99,14,16,80917
Alaska,1,99,15,17,49315
Alaska,1,99,16,29,27452
Alaska,1,99,17,16,15190
Alaska,1,99,18,17,11236
Alaska,1,99,19,0,0
Alaska,2,99,1,0,134054
Alaska,2,99,2,0,126075
Alaska,2,99,3,0,121269
Alaska,2,99,4,0,112871
Alaska,2,99,5,0,125379
Alaska,2,99,6,0,143057
Alaska,2,99,7,0,133593
Alaska,2,99,8,0,114113
Alaska,2,99,9,0,105475
Alaska,2,99,10,0,108504
Alaska,2,99,11,2,121460
Alaska,2,99,12,5,123239
Alaska,2,99,13,5,104520
